ARTIST,SONG,MF CODE,TRACK
10 Years,Beautiful,CBE10-21,09
10 Years,Through The Iris,THMR0606,11
10 Years,Wasteland,SC8966,13
10000 Maniacs,Because The Night,SC8113,05
10000 Maniacs,Like The Weather,MM6066,07
10000 Maniacs,More Than This,SC3033,02
10000 Maniacs,These Are The Days,SC8466,14
10000 Maniacs,Trouble Me,SC8439,03
10cc,Donna,SF090,15
10cc,Dreadlock Holiday,SF023,12
10cc,Good Morning Judge,HSW216,04
10cc,I'm Mandy,SF079,03
10cc,I'm Not In Love,SF001,09
10cc,Rubber Bullets,SF071,01
10cc,Things We Do For Love,ZKH07,07
10cc,Wall Street Shuffle,SFMW814,01
112,Dance With Me,SC8726,09
112,It's Over Now,SC8672,15
112,Only You,SC8295,04
112,Peaches And Cream,TT062,11
112,U Already Know,SC8932,13
12 Gauge,Dunkie Butt,SC8892,04
12 Stones,We Are One,PHM1008,08
1910 Fruitgum Co,1 2 3 Redlight,SC8191-V2,11
1910 Fruitgum Factory,123 Red Light,SC8191,11
1910 Fruitgum Factory,Simon Says,SFGD047,10
1927,That's When I Think Of You,SFID009,04
1975,Chocolate,ZPP16-1,08
1975,City,ZPP16-2,12
1975,Sex,ZPP16-2,07
1975,The City,MRH106,06
2 Evisa,Oh La La La,SF114,10
2 Live Crew,Do Wah Diddy Diddy,SC8700,11
2 Live Crew,Me So Horny,SGB0012,09
2 Live Crew,We Want Some Pussy,SC8700,08
2 Pac,California Love,SF049,04
2 Pac,Changes,SC8656,12
2 Pac,How Do You Want It,MM6170,02
2 Pac,Until The End Of Time,SC8702,08
2 Play,So Confused,HSW022,10
2 Play Feat Thomas Jules And,Careless Whisper,MRH015-2,12
2 Unlimited,No Limits,SF006,05
20 Fingers,Short Dick Man,SC8746,14
21st Century Girls,21st Century Girls,SF140,10
2k Fierce,Sweet Love,SF159,04
3 Doors Down,Be Like That,SC8717,15
3 Doors Down,Behind Those Eyes,SC8924,02
3 Doors Down,Citizen Soldier,PHM0903,08
3 Doors Down,Duck And Run,SC8680,05
3 Doors Down,Every Time You Go,PHM1108,03
3 Doors Down,Here Without You,SPC021,06
3 Doors Down,It's Not My Time,PHM0806,07
3 Doors Down,Kryptonite,TT026,12
3 Doors Down,Landing In London,THM2006,--
3 Doors Down,Let Me Be Myself,PHM0812,02
3 Doors Down,Let Me Go,SC8946,12
3 Doors Down,Live For Today,SC8935,03
3 Doors Down,Loser,TT026,13
3 Doors Down,When I'm Gone,SPC020,05
3 Doors Down,When You're Young,PHM1105,09
3 L W,I Do,PHM0210,09
3 L W,I Do (Wanna Get Close To You),AMS1033,07
3 L W,No More (Baby I'm A Do Right),TT034,13
3 L W,Playas Gon' Play,PHM0108,06
3 Of Hearts,Arizona Rain,TT071,02
3 Of Hearts,Love Is Enough,TT071,19
3 S L,Take It Easy,SF191,09
30 Seconds To Mars,Closer To The Edge,SFKK48,09
30 Seconds To Mars,Kill,THMR0606,14
30 Seconds To Mars,Kings And Queens,SFMW920,07
30h 3 Feat Katy Perry,Starstrukk,SFKK38,10
30h!3,Don't Trust Me,PHM0903,01
311,All Mixed Up,SC8448,02
311,Don't Tread On Me,SC8935,09
311,Down,SC8598,11
311,Hey You,PHM0907,04
311,You Wouldn't Believe,SC8717,14
38 Special,Back Where You Belong,CBE10-20,04
38 Special,Caught Up In You,CB40447,07
38 Special,Caught Up With You,SC8146,09
38 Special,Hold On Loosely,SGB0016,07
38 Special,If I'd Been The One,SC8621,14
38 Special,Rockin' Into The Night,SC8479,03
38 Special,Rockin' Onto The Night,CB40447,11
38 Special,Second Chance,SC8588,03
38 Special,Teacher Teacher,SC8922,10
38 Special,Wild Eyed Southern Boys,SC8479,14
3oh3,Don't Trust Me,SFKK33,10
3oh3,Double Vision,PHM1012,05
3oh3,Starstrukk,PHM0907,07
3oh3 Feat Ke$ha,My First Kiss,SFKK46,03
3oh3 Feat Ke$ha,Starstrukk,PHM0907,16
3oh3 Feat Neon Hitch,Follow Me Down,PHM1006,08
3oh3 Featuring Ke$ha,My First Kiss,PHM1008,01
3t,Anything,SF049,02
3t,Tease Me,SC8277,04
4 Non Blondes,What's Up,SPC002,17
4 Runner,Ripples,SC8239,04
4 Runner,That Was Him (This Is Now),SC8303,08
4:00 Pm,Sukiyaki,MM6091,09
411,Dumb,SF221,12
411,Teardrops,SF225,06
411 And Ghostface,On My Knees,SF219,04
42nd Street,42nd Street,SC8127,12
44,When Your Heart Stops Beating,PHM0612,06
4fm,Lay Down Your Love,SC8170,07
5 Stairsteps,O O H Child,SC8393,05
5 Star,Rain Or Shine,SFMW878,10
